Year,target,source,Population type,value
2014,Dem. Rep. of the Congo, Central African Rep.,Refugees (incl. refugee-like situations),68165
2013,Sudan, Chad,Refugees (incl. refugee-like situations),41666
2014,Sudan, Chad,Refugees (incl. refugee-like situations),42334
2014,Canada, China,Refugees (incl. refugee-like situations),13231
2013,Canada, China,Refugees (incl. refugee-like situations),15344
2013,India, China,Refugees (incl. refugee-like situations),100003
2014,India, China,Refugees (incl. refugee-like situations),109018
2013,United States of America, China,Refugees (incl. refugee-like situations),65558
2014,United States of America, China,Refugees (incl. refugee-like situations),71902
2014,Liberia, C’‚te d'Ivoire,Refugees (incl. refugee-like situations),38109
2013,Liberia, C’‚te d'Ivoire,Refugees (incl. refugee-like situations),52786
2014,Canada, Colombia,Refugees (incl. refugee-like situations),16428
2013,Canada, Colombia,Refugees (incl. refugee-like situations),17381
2013,Costa Rica, Colombia,Refugees (incl. refugee-like situations),16586
2014,Costa Rica, Colombia,Refugees (incl. refugee-like situations),16623
2014,Ecuador, Colombia,Refugees (incl. refugee-like situations),121317
2013,Ecuador, Colombia,Refugees (incl. refugee-like situations),122359
2014,Panama, Colombia,Refugees (incl. refugee-like situations),15551
2013,Panama, Colombia,Refugees (incl. refugee-like situations),15957
2014,United States of America, Colombia,Refugees (incl. refugee-like situations),10552
2013,United States of America, Colombia,Refugees (incl. refugee-like situations),13913
2014,Venezuela (Bolivarian Republic of), Colombia,Refugees (incl. refugee-like situations),173519
2013,Venezuela (Bolivarian Republic of), Colombia,Refugees (incl. refugee-like situations),204259
2014,Serbia and Kosovo (S/RES/1244 (1999)), Croatia,Refugees (incl. refugee-like situations),32408
2013,Serbia and Kosovo (S/RES/1244 (1999)), Croatia,Refugees (incl. refugee-like situations),41762
2014,Angola, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),12944
2013,Angola, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),21104
2013,Burundi, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),45124
2014,Burundi, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),52631
2013,Central African Rep., Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),10992
2014,Congo, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),23376
2013,Congo, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),31936
2013,France, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),13513
2014,France, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),13727
2013,Rwanda, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),72988
2014,Rwanda, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),73400
2013,South Africa, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),14414
2014,South Africa, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),30125
2013,South Sudan, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),13933
2014,South Sudan, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),15485
2013,Uganda, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),155742
2014,Uganda, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),178217
2014,United Rep. of Tanzania, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),53881
2013,United Rep. of Tanzania, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),64569
2013,Zambia, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),16684
2014,Zambia, Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),18598
2014,United States of America, Egypt,Refugees (incl. refugee-like situations),10047
2013,Ethiopia, Eritrea,Refugees (incl. refugee-like situations),84377
2014,Ethiopia, Eritrea,Refugees (incl. refugee-like situations),123784
2014,Israel, Eritrea,Refugees (incl. refugee-like situations),32668
2013,Israel, Eritrea,Refugees (incl. refugee-like situations),35214
2013,Italy, Eritrea,Refugees (incl. refugee-like situations),12666
2014,Italy, Eritrea,Refugees (incl. refugee-like situations),13357
2014,Norway, Eritrea,Refugees (incl. refugee-like situations),11202
2014,Sudan, Eritrea,Refugees (incl. refugee-like situations),109196
2013,Sudan, Eritrea,Refugees (incl. refugee-like situations),109640
2014,Sweden, Eritrea,Refugees (incl. refugee-like situations),14107
2013,Switzerland, Eritrea,Refugees (incl. refugee-like situations),13106
2014,Switzerland, Eritrea,Refugees (incl. refugee-like situations),16091
2013,United Kingdom, Eritrea,Refugees (incl. refugee-like situations),10010
2014,United Kingdom, Eritrea,Refugees (incl. refugee-like situations),11583
2014,Kenya, Ethiopia,Refugees (incl. refugee-like situations),21250
2013,Kenya, Ethiopia,Refugees (incl. refugee-like situations),23524
2014,South Africa, Ethiopia,Refugees (incl. refugee-like situations),18830
2014,United States of America, Ethiopia,Refugees (incl. refugee-like situations),10384
2013,United States of America, Ethiopia,Refugees (incl. refugee-like situations),10472
2013,Togo, Ghana,Refugees (incl. refugee-like situations),17746
2014,Togo, Ghana,Refugees (incl. refugee-like situations),18444
2014,United States of America, Haiti,Refugees (incl. refugee-like situations),24170
2013,United States of America, Haiti,Refugees (incl. refugee-like situations),25891
2013,Germany, Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),17150
2014,Germany, Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),18814
2014,Iraq, Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),11053
2013,United Kingdom, Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),11368
2014,United Kingdom, Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),11510
2013,Germany, Iraq,Refugees (incl. refugee-like situations),40230
2014,Germany, Iraq,Refugees (incl. refugee-like situations),41167
2014,Iran (Islamic Rep. of), Iraq,Refugees (incl. refugee-like situations),32000
2013,Iran (Islamic Rep. of), Iraq,Refugees (incl. refugee-like situations),43268
2014,Jordan, Iraq,Refugees (incl. refugee-like situations),29263
2013,Jordan, Iraq,Refugees (incl. refugee-like situations),55509
2014,Netherlands, Iraq,Refugees (incl. refugee-like situations),14396
2013,Netherlands, Iraq,Refugees (incl. refugee-like situations),15533
2013,Sweden, Iraq,Refugees (incl. refugee-like situations),24006
2014,Sweden, Iraq,Refugees (incl. refugee-like situations),24184
2013,Syrian Arab Rep., Iraq,Refugees (incl. refugee-like situations),146200
2014,Syrian Arab Rep., Iraq,Refugees (incl. refugee-like situations),146200
2013,Turkey, Iraq,Refugees (incl. refugee-like situations),13467
2014,Turkey, Iraq,Refugees (incl. refugee-like situations),17542
2013,Burkina Faso, Mali,Refugees (incl. refugee-like situations),28684
2014,Burkina Faso, Mali,Refugees (incl. refugee-like situations),31604
2014,Mauritania, Mali,Refugees (incl. refugee-like situations),48912
2013,Mauritania, Mali,Refugees (incl. refugee-like situations),66393
2014,Niger, Mali,Refugees (incl. refugee-like situations),47466
2013,Niger, Mali,Refugees (incl. refugee-like situations),48928
2013,Mali, Mauritania,Refugees (incl. refugee-like situations),12897
2014,Mali, Mauritania,Refugees (incl. refugee-like situations),12898
2014,Senegal, Mauritania,Refugees (incl. refugee-like situations),13699
2013,Senegal, Mauritania,Refugees (incl. refugee-like situations),13703
2013,Bangladesh, Myanmar,Refugees (incl. refugee-like situations),231125
2014,Bangladesh, Myanmar,Refugees (incl. refugee-like situations),232462
2013,India, Myanmar,Refugees (incl. refugee-like situations),11122
2014,India, Myanmar,Refugees (incl. refugee-like situations),14301
2013,Malaysia, Myanmar,Refugees (incl. refugee-like situations),92287
2014,Malaysia, Myanmar,Refugees (incl. refugee-like situations),93866
2014,Thailand, Myanmar,Refugees (incl. refugee-like situations),128863
2013,Thailand, Myanmar,Refugees (incl. refugee-like situations),135476
2014,Cameroon, Nigeria,Refugees (incl. refugee-like situations),39968
2014,Niger, Nigeria,Refugees (incl. refugee-like situations),30000
2013,Afghanistan, Pakistan,Refugees (incl. refugee-like situations),16825
2014,Afghanistan, Pakistan,Refugees (incl. refugee-like situations),300385
2013,Canada, Pakistan,Refugees (incl. refugee-like situations),10641
2014,Egypt, Palestinian,Refugees (incl. refugee-like situations),70023
2013,Egypt, Palestinian,Refugees (incl. refugee-like situations),70026
2013,Austria, Russian Federation,Refugees (incl. refugee-like situations),19577
2014,Austria, Russian Federation,Refugees (incl. refugee-like situations),19577
2013,France, Russian Federation,Refugees (incl. refugee-like situations),12795
2014,France, Russian Federation,Refugees (incl. refugee-like situations),13644
2014,Poland, Russian Federation,Refugees (incl. refugee-like situations),14277
2013,Poland, Russian Federation,Refugees (incl. refugee-like situations),15149
2014,Dem. Rep. of the Congo, Rwanda,Refugees (incl. refugee-like situations),38028
2013,Dem. Rep. of the Congo, Rwanda,Refugees (incl. refugee-like situations),43674
2013,Uganda, Rwanda,Refugees (incl. refugee-like situations),13376
2014,Uganda, Rwanda,Refugees (incl. refugee-like situations),14312
2014,Gambia, Senegal,Refugees (incl. refugee-like situations),11036
2013,France, Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),11738
2014,France, Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),12119
2013,Djibouti, Somalia,Refugees (incl. refugee-like situations),19169
2014,Djibouti, Somalia,Refugees (incl. refugee-like situations),19720
2013,Ethiopia, Somalia,Refugees (incl. refugee-like situations),240825
2014,Ethiopia, Somalia,Refugees (incl. refugee-like situations),245097
2013,Italy, Somalia,Refugees (incl. refugee-like situations),10846
2014,Italy, Somalia,Refugees (incl. refugee-like situations),12213
2014,Kenya, Somalia,Refugees (incl. refugee-like situations),424691
2013,Kenya, Somalia,Refugees (incl. refugee-like situations),475304
2014,Netherlands, Somalia,Refugees (incl. refugee-like situations),18687
2013,Netherlands, Somalia,Refugees (incl. refugee-like situations),18799
2013,South Africa, Somalia,Refugees (incl. refugee-like situations),20818
2014,South Africa, Somalia,Refugees (incl. refugee-like situations),40133
2013,Sweden, Somalia,Refugees (incl. refugee-like situations),20613
2014,Sweden, Somalia,Refugees (incl. refugee-like situations),21189
2013,Uganda, Somalia,Refugees (incl. refugee-like situations),13144
2014,Uganda, Somalia,Refugees (incl. refugee-like situations),17010
2013,United Kingdom, Somalia,Refugees (incl. refugee-like situations),11249
2013,Yemen, Somalia,Refugees (incl. refugee-like situations),230506
2014,Yemen, Somalia,Refugees (incl. refugee-like situations),244204
2013,Ethiopia, South Sudan,Refugees (incl. refugee-like situations),71506
2014,Ethiopia, South Sudan,Refugees (incl. refugee-like situations),251791
2013,Kenya, South Sudan,Refugees (incl. refugee-like situations),19930
2014,Kenya, South Sudan,Refugees (incl. refugee-like situations),89226
2014,Sudan, South Sudan,Refugees (incl. refugee-like situations),115451
2013,Uganda, South Sudan,Refugees (incl. refugee-like situations),22510
2014,Uganda, South Sudan,Refugees (incl. refugee-like situations),157053
2014,Canada, Sri Lanka,Refugees (incl. refugee-like situations),10745
2013,Canada, Sri Lanka,Refugees (incl. refugee-like situations),12326
2013,France, Sri Lanka,Refugees (incl. refugee-like situations),23762
2014,France, Sri Lanka,Refugees (incl. refugee-like situations),23966
2014,India, Sri Lanka,Refugees (incl. refugee-like situations),65057
2013,India, Sri Lanka,Refugees (incl. refugee-like situations),65674
2014,Sweden, Stateless,Refugees (incl. refugee-like situations),12476
2013,Chad, Sudan,Refugees (incl. refugee-like situations),352948
2014,Chad, Sudan,Refugees (incl. refugee-like situations),357711
2014,Egypt, Sudan,Refugees (incl. refugee-like situations),12730
2013,Egypt, Sudan,Refugees (incl. refugee-like situations),12927
2013,Ethiopia, Sudan,Refugees (incl. refugee-like situations),33582
2014,Ethiopia, Sudan,Refugees (incl. refugee-like situations),35447
2013,Israel, Sudan,Refugees (incl. refugee-like situations),12542
2013,South Sudan, Sudan,Refugees (incl. refugee-like situations),208130
2014,South Sudan, Sudan,Refugees (incl. refugee-like situations),225727
2013,Armenia, Syrian Arab Rep.,Refugees (incl. refugee-like situations),11090
2014,Armenia, Syrian Arab Rep.,Refugees (incl. refugee-like situations),14994
2013,Egypt, Syrian Arab Rep.,Refugees (incl. refugee-like situations),131659
2014,Egypt, Syrian Arab Rep.,Refugees (incl. refugee-like situations),138381
2013,Germany, Syrian Arab Rep.,Refugees (incl. refugee-like situations),21253
2014,Germany, Syrian Arab Rep.,Refugees (incl. refugee-like situations),40994
2013,Iraq, Syrian Arab Rep.,Refugees (incl. refugee-like situations),212809
2014,Iraq, Syrian Arab Rep.,Refugees (incl. refugee-like situations),234196
2013,Jordan, Syrian Arab Rep.,Refugees (incl. refugee-like situations),585304
2014,Jordan, Syrian Arab Rep.,Refugees (incl. refugee-like situations),623112
2013,Lebanon, Syrian Arab Rep.,Refugees (incl. refugee-like situations),851284
2014,Lebanon, Syrian Arab Rep.,Refugees (incl. refugee-like situations),1147494
2013,Libya, Syrian Arab Rep.,Refugees (incl. refugee-like situations),16796
2014,Libya, Syrian Arab Rep.,Refugees (incl. refugee-like situations),18653
2013,Sweden, Syrian Arab Rep.,Refugees (incl. refugee-like situations),17984
2014,Sweden, Syrian Arab Rep.,Refugees (incl. refugee-like situations),34285
2013,Turkey, Syrian Arab Rep.,Refugees (incl. refugee-like situations),585601
2014,Turkey, Syrian Arab Rep.,Refugees (incl. refugee-like situations),1557899
2013,Nepal, Tibetan,Refugees (incl. refugee-like situations),15000
2014,Nepal, Tibetan,Refugees (incl. refugee-like situations),15000
2014,France, Turkey,Refugees (incl. refugee-like situations),10699
2013,France, Turkey,Refugees (incl. refugee-like situations),10867
2014,Germany, Turkey,Refugees (incl. refugee-like situations),22242
2013,Germany, Turkey,Refugees (incl. refugee-like situations),24449
2013,Iraq, Turkey,Refugees (incl. refugee-like situations),15496
2014,Iraq, Turkey,Refugees (incl. refugee-like situations),16637
2014,Russian Federation, Ukraine,Refugees (incl. refugee-like situations),231787
2013,France, Various/Unknown,Refugees (incl. refugee-like situations),47676
2014,France, Various/Unknown,Refugees (incl. refugee-like situations),60000
2013,South Africa, Various/Unknown,Refugees (incl. refugee-like situations),13503
2014,United Kingdom, Various/Unknown,Refugees (incl. refugee-like situations),20015
2013,United Kingdom, Various/Unknown,Refugees (incl. refugee-like situations),25617
2013,China, Viet Nam,Refugees (incl. refugee-like situations),300896
2014,China, Viet Nam,Refugees (incl. refugee-like situations),300896
2013,Algeria, Western Sahara,Refugees (incl. refugee-like situations),90000
2014,Algeria, Western Sahara,Refugees (incl. refugee-like situations),90000
2013,Mauritania, Western Sahara,Refugees (incl. refugee-like situations),26001
2014,Mauritania, Western Sahara,Refugees (incl. refugee-like situations),26001
2013,United Kingdom, Zimbabwe,Refugees (incl. refugee-like situations),10302
